Sample  H1_BA9 H2_BA9 H3_BA9 H4_BA9 H5_BA9 H6_BA9 H7_BA9 H8_BA9 H9_BA9 H10_BA9 H11_BA9 H12_BA9 H13_BA11 H14_BA11 H15_BA11 H16_BA11 H17_BA11 H18_BA11 H19_BA11 H20_BA11 H21_BA46 H22_BA46 H23_BA46 H24_BA46 H25_BA46 H26_BA46 H27_BA46 H28_BA46 H29_BA46 H30_BA46 H31_BA46 H32_BA46 H33_BA46 H34_BA46 H35_BA46 H36_BA46 H37_BA46 H38_BA46 H39_BA46 H40_BA46 H41_BA46 H42_BA9 H43_BA9 H44_BA9 H45_BA9 H46_BA9 H47_BA9 H48_BA9 H49_BA9 H50_BA9 H51_BA9 H52_BA4 H53_BA4 H54_BA4 H55_BA4 H56_BA4 H57_BA4 H58_BA4 H59_BA4 H60_BA4 H61_BA4 H62_BA4 H63_BA4 H64_BA4 H65_BA4 H66_BA4 H67_BA4 
CD24 101.8855069 76.87546647 69.61139091 76.66835448 129.8203733 155.008227 42.44536478 50.00343839 32.21605113 44.26896094 46.99677791 62.66758126 143.9140943 164.7142039 314.2834394 64.07190185 122.3683815 147.2379898 94.00514679 56.12486174 41.72759027 135.2018013 84.2522914 44.12713079 126.3983495 55.43799243 34.80414538 88.57146434 78.87203725 110.6032089 89.07118516 31.16080632 67.11208728 103.3517534 134.8869992 138.9001757 111.946071 74.09717174 137.3966103 160.3617542 24.39366177 45.45733983 72.53807084 52.16802732 113.3291538 88.4034733 87.64420047 192.1046545 115.2311134 37.31687738 82.67870725 129.5319096 103.264971 95.20519602 79.16972724 123.4708628 110.4286815 106.6930779 57.11885564 113.4195667 104.9874326 105.0763183 45.83036607 83.75815351 69.92320749 23.22696146 60.85686154 
C17orf25 352.925681 352.5139455 351.8616019 331.0753879 308.2446493 373.2139524 368.4481129 340.9094352 303.698831 251.0236953 346.8088341 364.9277736 313.601072 322.0146315 445.6395297 315.1090535 346.1654973 391.9466351 282.2885802 291.3493365 333.2811684 432.746941 357.7572796 259.7495118 354.2136775 283.8888659 355.5473118 319.0665789 337.0773382 313.5732303 348.4620211 339.6202363 277.5670186 299.9938869 315.2780626 378.6247334 303.3174489 318.4351595 329.5309201 294.2594508 333.527996 245.4220501 291.1637611 296.8608145 380.0039499 332.4428022 345.1762347 392.8921721 370.5197924 322.0666355 274.2864209 273.5486672 429.1677964 262.9904895 387.7097944 341.3349722 377.8407388 347.3496658 317.1655252 321.8462435 306.9482194 343.8730667 307.6417684 286.6375613 310.7745444 268.3500006 305.7898449 
CD24 204.2662727 151.6324956 204.2662727 155.1124237 333.7303872 334.3163099 132.2938071 204.0968622 147.4134201 96.69926842 171.0477966 171.1578595 269.4137632 305.944915 627.4168928 182.9313463 219.9426742 377.3249836 297.9696752 205.9485077 153.9896998 297.3155622 258.7046395 225.8625703 226.1172833 241.2965917 94.66343901 152.9907469 108.6089806 152.544999 215.4551525 105.3394993 184.0916133 188.0715053 403.4811725 388.8371597 319.3482445 151.8365782 261.7353272 336.6070464 187.1422005 44.53800591 149.3062996 187.9643989 283.1862107 225.7642837 254.0161487 374.2646003 387.5253972 119.0919229 200.7114976 271.1685771 232.5439214 254.6415296 229.9680437 225.2598617 350.8271444 277.3223127 100.5684673 313.6480426 165.924609 208.8116216 140.5035782 187.6461931 242.7416051 104.2521526 171.6505329 
PLXNC1 208.7199468 180.8788919 207.1708851 186.0120572 152.5226514 200.0108555 155.23643 124.2236537 157.3474062 159.7399238 180.1802955 178.9559994 180.8788919 250.8833973 310.4813854 160.6838469 224.3600963 230.3285399 172.6335845 151.4151774 216.1021349 210.9646106 134.4989006 136.1629728 172.8123716 178.5589941 222.6509358 208.3590239 158.8130656 115.379985 199.4136405 166.9005361 200.8109835 155.8591385 180.3803171 246.4833957 165.8097328 159.2589414 220.0314155 168.0371213 167.7106765 198.3214175 172.6980531 186.1497684 184.0440171 175.3768671 195.9664348 257.7927834 180.610727 109.3763159 159.4972647 180.0798494 271.4137638 152.246309 220.6423059 181.9590072 232.928193 175.8026837 153.2661685 187.6574348 174.3620951 194.6581901 148.7585682 112.1848621 159.8417346 127.0962182 129.5343661 
PARP2 421.0362703 306.4382341 352.6395738 280.4113984 413.0901746 321.7143267 217.2254158 263.0986555 232.9401903 206.2790279 278.7514555 313.2481317 347.3851131 225.594396 327.8680243 314.798708 323.6148763 380.4515165 223.9575416 224.4059449 229.0257142 354.1670099 237.870455 279.4214493 369.9797777 263.6071506 270.9915448 373.4025609 263.6071506 236.3595932 309.1794558 303.5768681 210.0917233 282.9896547 274.7097648 460.0268319 395.8389344 362.1514627 286.089447 282.1155898 280.5358438 196.0585605 260.0461699 253.6352323 389.4857519 253.6352323 358.6297542 356.369954 250.6906921 319.5600392 291.3449556 271.0985007 278.692277 232.3763701 383.9059169 311.9340776 320.2356311 351.4865613 302.3079132 371.4308508 229.3277882 312.2919202 254.639717 291.8869825 239.118046 206.2162949 319.3835307 
CD24 317.9484775 167.354776 178.7754172 164.860245 330.534229 364.8132238 122.8223841 158.3977241 118.5876564 111.4358853 183.1584509 146.5599051 270.2152333 270.35287 622.0966692 169.5932387 238.2984675 329.2634906 308.6894786 213.768202 111.2014259 303.7058956 219.2743471 206.9279974 205.4318786 195.9680126 121.8687336 132.6650505 139.346559 171.2117714 204.5461454 148.4811635 180.8181249 170.1354131 441.9399555 433.7873598 313.2525584 221.1805989 223.3025074 329.4017841 204.8060888 149.6638568 131.4726194 180.8162896 255.7845607 220.721801 211.7653138 427.6306492 346.4510933 86.16783033 169.410763 279.3451262 261.3434533 246.0205018 236.9756543 200.3466394 347.0268483 240.030253 158.9739564 232.5816951 150.5714311 219.2547001 126.298791 227.1148199 248.2781451 131.8727198 171.6205656 
NIT2 194.4641795 171.9191825 205.7405734 166.940964 260.1003152 214.7443265 154.6584648 183.6741442 260.2216266 125.0785205 225.1448298 188.6735087 235.2170134 243.2346942 343.3021165 262.4141351 179.791067 322.1516439 187.2177721 164.2609841 131.4700514 230.7006327 266.1236324 193.2417273 270.9322482 186.666897 170.2069065 203.7367781 294.9365479 154.9014773 235.9287685 223.9107544 165.6873717 165.6873717 293.2232141 213.385738 272.8553419 201.0856936 224.5329837 173.2493078 221.6703766 240.685441 179.3650685 130.6510849 244.6733354 185.2429684 247.3273119 192.9069323 268.9246531 188.4651593 159.120701 226.5119072 212.5125936 174.7287108 186.1400873 186.3132957 267.0793507 210.770321 179.1913741 281.4047038 230.9745705 251.4763311 201.7553335 172.1305849 226.3896426 153.7562311 137.5398499 
HMP19 1208.15859 534.6186866 754.9665286 873.2473349 1090.93499 893.3587882 838.8856696 676.770039 1032.28333 355.5497311 856.2976893 780.1040055 722.4911554 941.0397838 1499.807776 789.6949046 756.6725312 889.7186616 993.6744419 930.6148936 815.1342069 929.2845614 845.2483666 1112.381008 834.5260764 656.1651434 660.6311281 794.0644693 623.7644423 723.61365 677.9220928 848.7825991 844.6075639 739.4909218 981.0842719 1526.430624 1079.90177 558.5328634 778.3228549 624.4730738 764.3840563 772.5277104 707.1571603 511.7457201 918.1332269 801.0131932 937.4807489 1216.199566 1124.765642 551.1923522 546.967605 775.296852 1046.60598 1046.60598 1345.591327 858.4523219 793.7412431 935.5672137 541.5555295 620.6336493 486.410171 1051.866404 762.1738844 627.9793007 786.591433 505.0054562 850.2093325 
C9orf40 91.16518747 74.77827573 78.87882405 65.11651794 102.6441758 84.02488485 64.62114113 50.12659425 77.98994743 60.34358157 71.49529015 95.43510627 62.48299808 81.15704795 107.540638 67.01142971 100.3697723 96.858837 82.00007993 66.44346556 91.63269215 113.6195858 70.55134636 62.28088686 77.63555396 78.21599273 55.72795518 107.8294713 71.04773253 78.99625468 52.96056269 60.68547319 90.63991982 73.80085193 78.1509709 91.15375087 84.36293445 91.96414488 90.69542626 78.38092615 67.27170872 69.03986487 95.97927436 55.38319561 64.81551799 70.79237566 110.3582724 87.9360458 80.93050785 70.65271542 73.5074909 83.20377571 82.82474597 65.55951988 79.12204648 60.07622289 82.55689828 69.90067391 70.78170749 103.5534616 50.617325 111.9325459 92.25332147 68.25821168 73.39785503 79.56003641 75.28458088 
FLJ20701 195.4360897 264.7958347 228.7485497 164.1256895 256.7581035 269.0699204 177.8372469 190.9101868 164.0644367 176.4647299 241.735282 181.8708586 246.3042887 270.8496552 494.9260852 188.3228223 375.0701954 381.7274695 198.1936009 204.3483751 265.3829038 270.3092251 311.3908631 176.1157431 212.5520357 152.8132265 266.438412 310.2946873 155.4824979 116.2198094 141.0196319 266.438412 261.4122702 211.0140621 223.6413421 317.0362609 166.1725227 331.0610263 363.1865567 184.1438907 183.2676896 157.3526319 181.4354697 122.3725346 301.3229403 287.2283763 309.4985274 261.4632101 298.6294535 217.5799849 173.6351036 134.6443615 305.7556943 148.8835592 276.6220254 199.426297 410.2492855 270.2409093 129.0918718 280.3456431 174.1999998 220.5562679 233.4121103 197.8279843 285.658906 158.7161291 240.7241308 
TRPV2 73.98485415 85.00393177 59.30496599 58.82604048 77.02268243 75.83484608 70.10290386 62.98978598 68.0456724 52.83125788 49.80227519 54.75706916 57.09862315 86.76925877 127.5297367 54.44368255 68.2794487 81.24076512 68.15813776 61.81837716 65.33200151 120.7453104 61.43711759 38.77664185 68.75433357 61.0731646 64.40157332 65.55360191 69.59377351 83.1128657 54.34003445 103.0627722 72.81505091 50.82671414 66.21546802 73.18340654 60.2542704 48.9893386 73.44609841 66.97859523 77.54790721 40.92610774 63.0732005 76.00441152 75.63304513 77.34999021 45.49408093 82.66735747 87.97306748 66.34555461 51.91389013 48.57427353 68.25622775 61.43462112 58.96503584 51.44240861 74.29318947 44.64037362 64.43441997 104.2164498 70.8396844 77.20580556 65.45748303 50.10086155 82.54886364 57.84411456 89.16763688 
ZNF226 123.4254882 98.04233486 92.13908216 59.70035739 108.9834108 131.0703135 73.28533821 106.0323796 78.72552067 73.18653401 86.55247902 83.55145058 99.19584396 89.89872692 126.6860264 93.57233812 92.83904436 133.2725756 115.5806736 69.98432595 103.1651556 97.92808316 77.60422634 80.53753141 119.1826348 108.0874594 91.74670419 111.0854197 82.93147587 66.0020179 68.97275495 74.42591201 100.7031532 83.82814164 92.75566585 124.9726796 64.18656749 129.345414 105.9572402 108.5995967 107.7726906 72.5280239 86.32319784 61.66827066 113.9222347 67.9923862 111.1214929 119.801765 113.1633988 94.86444662 101.1335321 58.42131808 119.9926345 96.49208744 119.6400192 92.38733301 99.72212201 97.73890416 59.30772683 108.0641051 84.69992866 93.40621605 91.37819072 93.17243791 100.4994343 86.22533098 106.1120577 
HMGCS1 353.1516967 345.3646686 320.8975835 330.3170591 402.6111593 481.349617 275.2594794 376.5023909 325.1495664 343.6987409 336.4462411 233.9784169 325.6563871 293.6100818 521.2291299 403.6478904 228.2325252 437.6198833 390.8434531 361.8092096 361.8642291 359.756466 281.4859082 369.887444 288.8450333 463.7117781 360.6353021 305.9146667 445.4583326 262.0360183 228.2053369 295.919033 329.937392 276.6604298 361.0016343 346.3573723 302.4029311 421.2046195 300.2031338 284.8027477 423.1517741 216.1146364 335.3204046 396.8167818 258.695536 291.3226275 397.0696798 420.8566873 353.7090113 331.2821414 285.7150994 233.330374 423.4567753 408.4515575 330.5340072 297.958125 466.6955622 295.5258152 344.3495267 307.4501072 258.1177443 406.4988822 295.3005065 378.1987445 325.7735076 309.8482793 253.1609529 
CD24 62.6877136 27.85681298 27.65784874 28.42054499 56.2998562 46.05983007 22.1321697 31.49564783 27.81702013 24.29977454 30.20238028 17.51951545 39.02091746 49.70640241 135.0642713 35.13558803 56.10862945 75.90999258 50.37624868 45.82328369 36.69752392 60.09539912 66.14028915 38.04809016 48.0140469 39.71259457 17.33659866 42.74241398 9.222666446 52.87903509 24.85847299 38.71024022 48.63349537 37.47288801 49.82603903 78.16053931 32.8438802 33.10093024 51.84872794 54.23802919 41.54776334 3.570313742 29.91135965 36.19615423 33.71841577 34.4461144 51.85743475 97.67503987 64.68603528 20.01411011 45.75079614 33.8101251 56.07765438 33.51715986 45.81301998 44.23968808 84.35639659 27.17391962 34.077049 35.05576996 47.61855399 53.43011653 38.71024022 21.85497271 54.1766354 19.63928737 15.27953039 
